insert into rooms (RoomNumber, Capacity, RoomType) values ('B100', 132, 'Studio');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D101', 131, 'Computer Lab');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C102', 170, 'Workshop');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C103', 167, 'Seminar Room');
insert into rooms (RoomNumber, Capacity, RoomType) values ('B104', 52, 'Laboratory');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C105', 97, 'Studio');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C106', 128, 'Seminar Room');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D107', 135, 'Computer Lab');
insert into rooms (RoomNumber, Capacity, RoomType) values ('E108', 91, 'Workshop');
insert into rooms (RoomNumber, Capacity, RoomType) values ('B109', 80, 'Laboratory');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C110', 33, 'Seminar Room');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C111', 115, 'Lecture Hall');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C112', 174, 'Auditorium');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D113', 78, 'Auditorium');
insert into rooms (RoomNumber, Capacity, RoomType) values ('A114', 34, 'Auditorium');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D115', 122, 'Computer Lab');
insert into rooms (RoomNumber, Capacity, RoomType) values ('E116', 162, 'Auditorium');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D117', 44, 'Workshop');
insert into rooms (RoomNumber, Capacity, RoomType) values ('D118', 35, 'Studio');
insert into rooms (RoomNumber, Capacity, RoomType) values ('B119', 126, 'Laboratory');
insert into rooms (RoomNumber, Capacity, RoomType) values ('A120', 32, 'Conference Room');
insert into rooms (RoomNumber, Capacity, RoomType) values ('B121', 198, 'Conference Room');
insert into rooms (RoomNumber, Capacity, RoomType) values ('C122', 198, 'Laboratory');
insert into rooms (RoomNumber, Capacity, RoomType) values ('B123', 154, 'Studio');
insert into rooms (RoomNumber, Capacity, RoomType) values ('A124', 33, 'Conference Room');
